,0,1,2
609,75.94,259.85,2.0
610,9.99,189.22,1.0
611,36.86,154.27,1.0
612,19.9,238.7,2.0
613,46.88,226.03,2.0
614,68.81,250.57,2.0
615,23.53,134.29,1.0
616,43.22,138.15,1.0
617,31.19,194.05,2.0
618,46.61,213.85,2.0
619,77.19,227.73,2.0
620,6.61,195.29,1.0
621,39.73,135.31,1.0
622,29.85,187.52,2.0
623,41.38,211.89,2.0
624,79.72,214.55,2.0
625,11.21,71.76,1.0
626,10.69,66.81,1.0
627,11.34,61.12,1.0
628,10.87,58.54,1.0
629,13.43,51.95,1.0
630,6.68,95.56,1.0
631,7.69,83.54,1.0
632,11.52,68.13,1.0
633,8.77,70.45,1.0
634,8.55,67.66,1.0
635,3.93,123.8,1.0
636,5.34,102.41,1.0
637,6.6,89.04,1.0
638,9.32,74.97,1.0
639,9.17,71.76,1.0
640,7.04,108.77,1.0
641,6.82,100.75,1.0
642,4.58,107.33,1.0
643,3.58,109.99,1.0
644,3.74,103.28,1.0
645,8.19,109.18,1.0
646,6.98,105.48,1.0
647,5.09,109.35,1.0
648,6.58,94.78,1.0
649,9.8,79.05,1.0
650,10.54,88.13,1.0
651,9.14,84.67,1.0
652,12.41,71.36,1.0
653,18.76,58.71,1.0
654,22.83,52.37,1.0
655,0.83,188.45,1.0
656,0.72,180.45,1.0
657,1.09,146.66,1.0
658,1.08,139.03,1.0
659,1.11,131.13,1.0
660,28.55,84.56,1.0
661,20.88,86.0,1.0
662,28.88,72.02,1.0
663,30.63,66.69,1.0
664,37.89,59.16,1.0
665,3.93,171.68,1.0
666,2.72,177.87,1.0
667,3.59,151.29,1.0
668,6.13,119.54,1.0
669,2.89,146.23,1.0
670,8.66,137.58,1.0
671,3.39,172.25,1.0
672,5.95,133.28,1.0
673,14.3,93.99,1.0
674,13.38,91.51,1.0
675,11.81,106.09,1.0
676,6.31,119.75,1.0
677,17.87,78.99,1.0
678,12.56,83.91,1.0
679,25.34,63.24,1.0
680,15.82,107.64,1.0
681,21.36,89.23,1.0
682,19.06,86.48,1.0
683,17.36,84.25,1.0
684,12.37,89.84,1.0
685,6.22,128.34,1.0
