,0,1,2,3,4,5,6,7
365,125.0,3.0,3.0,2.5,2.0,3.0,19.0,0.066096
366,125.0,3.0,3.0,2.5,2.0,3.0,19.0,0.132192
367,125.0,3.0,3.0,2.5,2.0,3.0,19.0,0.264384
368,125.0,3.0,3.0,2.5,2.0,3.0,19.0,0.528768
369,125.0,3.0,3.0,2.5,2.0,3.0,19.0,1.057536
370,125.0,3.0,3.0,2.5,2.0,3.0,22.0,0.066096
371,125.0,3.0,3.0,2.5,2.0,3.0,22.0,0.132192
372,125.0,3.0,3.0,2.5,2.0,3.0,22.0,0.264384
373,125.0,3.0,3.0,2.5,2.0,3.0,22.0,0.528768
374,125.0,3.0,3.0,2.5,2.0,3.0,22.0,1.057536
375,150.0,1.0,5.0,1.5,4.0,3.0,10.0,0.066096
376,150.0,1.0,5.0,1.5,4.0,3.0,10.0,0.132192
377,150.0,1.0,5.0,1.5,4.0,3.0,10.0,0.264384
378,150.0,1.0,5.0,1.5,4.0,3.0,10.0,0.528768
379,150.0,1.0,5.0,1.5,4.0,3.0,10.0,1.057536
380,150.0,1.0,5.0,1.5,4.0,3.0,13.0,0.066096
381,150.0,1.0,5.0,1.5,4.0,3.0,13.0,0.132192
382,150.0,1.0,5.0,1.5,4.0,3.0,13.0,0.264384
383,150.0,1.0,5.0,1.5,4.0,3.0,13.0,0.528768
384,150.0,1.0,5.0,1.5,4.0,3.0,13.0,1.057536
385,150.0,1.0,5.0,1.5,4.0,3.0,16.0,0.066096
386,150.0,1.0,5.0,1.5,4.0,3.0,16.0,0.132192
387,150.0,1.0,5.0,1.5,4.0,3.0,16.0,0.264384
388,150.0,1.0,5.0,1.5,4.0,3.0,16.0,0.528768
389,150.0,1.0,5.0,1.5,4.0,3.0,16.0,1.057536
390,150.0,1.0,5.0,1.5,4.0,3.0,19.0,0.066096
391,150.0,1.0,5.0,1.5,4.0,3.0,19.0,0.132192
392,150.0,1.0,5.0,1.5,4.0,3.0,19.0,0.264384
393,150.0,1.0,5.0,1.5,4.0,3.0,19.0,0.528768
394,150.0,1.0,5.0,1.5,4.0,3.0,19.0,1.057536
395,150.0,1.0,5.0,1.5,4.0,3.0,22.0,0.066096
396,150.0,1.0,5.0,1.5,4.0,3.0,22.0,0.132192
